fips,state,county,year,tot_pop,tot_male,tot_female,nh_male,nh_female,h_male,h_female,wa_male,wa_female,ba_male,ba_female,ia_male,ia_female,aa_male,aa_female,na_male,na_female,tom_male,tom_female,nhwa_male,nhwa_female,nhba_male,nhba_female,nhia_male,nhia_female,nhaa_male,nhaa_female,nhna_male,nhna_female,nhtom_male,nhtom_female,hwa_male,hwa_female,hba_male,hba_female,hia_male,hia_female,haa_male,haa_female,hna_male,hna_female,htom_male,htom_female,cx,cy
06099,06,099,2010,515358,254988,260370,145085,153478,109903,106892,216084,220699,8612,8273,4898,4735,13909,14778,2118,2155,9367,9730,116645,124387,6813,6384,1483,1443,12244,13056,1594,1624,6306,6584,99439,96312,1799,1889,3415,3292,1665,1722,524,531,3061,3146,51.39739128,339.0853783
06101,06,101,2010,94806,47039,47767,32879,34517,14160,13250,35553,36215,1124,1074,1057,1096,7190,7294,164,182,1951,1906,23101,24734,901,832,443,483,6905,6965,116,143,1413,1360,12452,11481,223,242,614,613,285,329,48,39,538,546,47.64671652,293.3752567
06103,06,103,2010,63604,31687,31917,24451,25168,7236,6749,28970,29111,288,184,1001,1081,330,404,56,55,1042,1082,22557,23180,232,128,583,631,276,353,38,35,765,841,6413,5931,56,56,418,450,54,51,18,20,277,241,44.81104587,259.3852961
06105,06,105,2010,13804,7102,6702,6592,6199,510,503,6280,5898,66,31,366,337,56,73,12,17,322,346,5929,5542,53,20,284,266,47,65,9,11,270,295,351,356,13,11,82,71,9,8,3,6,52,51,30.60664351,239.3574932
06107,06,107,2010,443688,222266,221422,84543,89609,137723,131813,197232,196154,4906,4646,6137,6092,8558,8813,469,497,4964,5220,69896,74694,2965,2604,1619,1743,7074,7397,203,191,2786,2980,127336,121460,1941,2042,4518,4349,1484,1416,266,306,2178,2240,90.53264739,389.5316381
06109,06,109,2010,55186,29186,26000,25461,23775,3725,2225,26259,24110,1118,107,602,512,255,330,52,56,900,885,23029,22318,1080,77,431,372,220,304,30,35,671,669,3230,1792,38,30,171,140,35,26,22,21,229,216,77.63960529,331.9372517
06111,06,111,2010,825706,410233,415473,240887,251164,169346,164309,352253,353987,9485,8566,7526,7093,27129,31627,1093,1129,12747,13071,197878,204224,7087,6206,1207,1231,25273,29811,686,690,8756,9002,154375,149763,2398,2360,6319,5862,1856,1816,407,439,3991,4069,71.87173089,437.8383124
06113,06,113,2010,201190,98116,103074,67320,72560,30796,30514,75522,78852,2979,2797,1810,1882,12801,14258,550,606,4454,4679,48413,52209,2505,2319,536,586,12287,13677,398,467,3181,3302,27109,26643,474,478,1274,1296,514,581,152,139,1273,1377,40.60973165,301.9795586
06115,06,115,2010,72388,36466,35922,27197,26974,9269,8948,29115,28594,1439,1242,1077,1117,2569,2642,164,175,2102,2152,21398,21216,1176,956,608,667,2349,2397,126,147,1540,1591,7717,7378,263,286,469,450,220,245,38,28,562,561,57.03488276,288.7029771
08001,08,001,2010,443715,223235,220480,136651,137777,86584,82703,195898,193572,8181,7019,4813,4681,8119,8779,402,396,5822,6033,117408,118821,6713,5630,1223,1313,7519,8144,219,220,3569,3649,78490,74751,1468,1389,3590,3368,600,635,183,176,2253,2384,430.0353132,337.6151744
08003,08,003,2010,15499,7771,7728,4200,4170,3571,3558,6920,6949,142,79,412,387,86,107,14,19,197,187,3844,3857,110,44,72,71,56,83,7,6,111,109,3076,3092,32,35,340,316,30,24,7,13,86,78,391.2792385,401.5530769
08005,08,005,2010,575022,281873,293149,227886,240398,53987,52751,224213,232045,30228,30794,3267,3227,13847,16367,687,690,9631,10026,177444,186674,28012,28256,1185,1278,13270,15826,510,530,7465,7834,46769,45371,2216,2538,2082,1949,577,541,177,160,2166,2192,429.3812272,344.1294962
08007,08,007,2010,12063,6091,5972,4994,4905,1097,1067,5738,5596,34,28,149,157,56,61,3,10,111,120,4774,4673,27,19,73,80,43,44,2,6,75,83,964,923,7,9,76,77,13,17,1,4,36,37,361.379509,409.3885035
08009,08,009,2010,3795,1880,1915,1690,1747,190,168,1800,1833,11,6,34,39,6,9,0,0,29,28,1627,1687,11,5,22,26,6,9,0,0,24,20,173,146,0,1,12,13,0,0,0,0,5,8,463.8619582,415.2443977
08011,08,011,2010,6510,4274,2236,2952,1596,1322,640,3543,2093,501,8,129,68,48,23,1,0,52,44,2303,1514,494,5,81,31,44,21,0,0,30,25,1240,579,7,3,48,37,4,2,1,0,22,19,453.565458,395.8910475
08013,08,013,2010,295166,148243,146923,128270,127315,19973,19608,135937,134644,1626,1195,1252,1169,5906,6483,120,91,3402,3341,117767,116739,1347,941,530,535,5804,6365,83,60,2739,2675,18170,17905,279,254,722,634,102,118,37,31,663,666,408.349044,329.1760831
08014,08,014,2010,56135,27845,28290,24697,25084,3148,3206,24954,25258,358,277,246,217,1655,1853,17,19,615,666,22151,22408,308,229,140,120,1603,1808,15,17,480,502,2803,2850,50,48,106,97,52,45,2,2,135,164,414.497826,333.8002111
08015,08,015,2010,17809,9451,8358,8401,7702,1050,656,8894,8085,275,25,133,98,54,59,5,1,90,90,7907,7515,267,15,98,52,49,56,3,1,77,63,987,570,8,10,35,46,5,3,2,0,13,27,385.6422644,366.3679694
08017,08,017,2010,1830,908,922,821,839,87,83,846,859,11,3,21,26,9,12,1,0,20,22,770,790,11,2,14,17,8,12,1,0,17,18,76,69,0,1,7,9,1,0,0,0,3,4,465.9010184,371.1474039
08019,08,019,2010,9112,4749,4363,4511,4148,238,215,4582,4203,39,13,43,54,18,34,3,0,64,59,4370,4025,37,10,27,32,18,34,3,0,56,47,212,178,2,3,16,22,0,0,0,0,8,12,400.7087929,340.252653
08021,08,021,2010,8288,4108,4180,1811,1859,2297,2321,3851,3904,34,30,124,134,23,27,2,4,74,81,1709,1755,22,13,25,29,12,23,1,2,42,37,2142,2149,12,17,99,105,11,4,1,2,32,44,380.8590561,411.3992329
08023,08,023,2010,3528,1819,1709,634,617,1185,1092,1603,1508,35,29,100,74,26,36,1,5,54,57,531,521,19,14,30,24,21,28,0,2,33,28,1072,987,16,15,70,50,5,8,1,3,21,29,398.6330548,410.9197147
08025,08,025,2010,5838,4204,1634,2891,1263,1313,371,3419,1526,554,8,140,49,54,15,0,0,37,36,2178,1195,549,8,84,18,53,15,0,0,27,27,1241,331,5,0,56,31,1,0,0,0,10,9,438.4217836,383.8439382
08027,08,027,2010,4271,2202,2069,2067,1988,135,81,2105,1999,36,4,25,22,7,11,0,0,29,33,1983,1935,36,4,17,13,7,11,0,0,24,25,122,64,0,0,8,9,0,0,0,0,5,8,402.293827,386.9167013
08029,08,029,2010,30885,15553,15332,13225,13286,2328,2046,14831,14749,153,43,210,156,75,112,21,27,263,245,12739,12912,132,23,101,72,53,87,15,19,185,173,2092,1837,21,20,109,84,22,25,6,8,78,72,349.0534666,358.8364002
08031,08,031,2010,604414,302295,302119,203744,207577,98551,94542,244859,241890,32167,32680,6296,6325,10003,11587,509,452,8461,9185,157295,158438,29393,29692,1718,1910,9355,10933,276,269,5707,6335,87564,83452,2774,2988,4578,4415,648,654,233,183,2754,2850,417.9333688,339.7489501
08033,08,033,2010,2062,1066,996,1021,942,45,54,997,923,7,6,30,33,4,7,1,0,27,27,961,883,7,5,23,23,4,7,1,0,25,24,36,40,0,1,7,10,0,0,0,0,2,3,330.0869163,389.0242305
08035,08,035,2010,287003,142034,144969,131388,133901,10646,11068,131068,133223,2042,1650,706,721,4936,6069,134,135,3148,3171,121527,123299,1837,1460,408,411,4817,5915,106,98,2693,2718,9541,9924,205,190,298,310,119,154,28,37,455,453,415.5683249,352.3455595
08037,08,037,2010,52126,27763,24363,19348,17046,8415,7317,26608,23306,267,144,296,281,252,305,36,36,304,291,18669,16408,164,68,66,70,229,280,19,19,201,201,7939,6898,103,76,230,211,23,25,17,17,103,90,377.4585954,339.5410787
08039,08,039,2010,23138,11567,11571,10927,10903,640,668,11133,11099,92,76,93,85,66,118,8,5,175,188,10554,10516,85,64,70,54,61,112,7,4,150,153,579,583,7,12,23,31,5,6,1,1,25,35,432.9490887,355.1480705
08041,08,041,2010,626928,312531,314397,265021,267042,47510,47355,264386,265060,21770,19624,4045,3978,7433,10631,1283,1292,13614,13812,225426,226543,19347,16975,1890,1877,6804,9994,995,970,10559,10683,38960,38517,2423,2649,2155,2101,629,637,288,322,3055,3129,423.1388898,367.6220756
